OBJECTID,INCKEY,COLDETKEY,ADDRTYPE,COLLISIONTYPE,DISTANCE,EXCEPTRSNCODE,EXCEPTRSNDESC,FATALITIES,INATTENTIONIND,INCDATE,INCDTTM,INJURIES,INTKEY,JUNCTIONTYPE,LIGHTCOND,Lightcode,LOCATION,PEDCOUNT,PEDCYLCOUNT,PEDROWNOTGRNT,PERSONCOUNT,REPORTNO,ROADCOND,roadcode,SDOT_COLCODE,SDOT_COLDESC,SDOTCOLNUM,SEGKEY,SERIOUSINJURIES,SEVERITYCODE,SEVERITYDESC,SPEEDING,ST_COLCODE,ST_COLDESC,STATUS,UNDERINFL,VEHCOUNT,WEATHER,Shape,SEGLANEKEY,CROSSWALKKEY,HITPARKEDCAR,SPDCASENO
44690,169728,169748,Block,Cycles,153, ,,0,,06/09/2014 12:00:00 AM +0000,6/9/2014 7:30,1,,Mid-Block (not related to intersection),Daylight,3,1ST AVE BETWEEN MADISON ST AND SPRING ST,0,1,,2,3583780,Dry,1,23,"MOTOR VEHICLE STRUCK PEDALCYCLIST, LEFT SIDE SIDESWIPE",,1004,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy," 47.605050498000026, -122.33656362299996 ",36774,0,N,14-182666
44707,166804,166824,Block,Cycles,160.5, ,,0,,04/11/2014 12:00:00 AM +0000,4/11/2014 14:55,1,,Mid-Block (not related to intersection),Daylight,3,S JACKSON ST BETWEEN 2ND AVE S AND 3RD AVE S,0,1,,1,3641332,Dry,1,69,PEDALCYCLIST OVERTURNED IN ROAD,,20484,0,2,Injury Collision,,45,Bicycle,Matched,N,0,Clear or Partly Cloudy," 47.59919974400003, -122.33092876799998 ",0,0,N,14-110833
44797,169781,169801,Block,Cycles,319, ,,0,,06/07/2014 12:00:00 AM +0000,6/7/2014 14:32,1,,Mid-Block (not related to intersection),Daylight,3,HARBOR AVE SW BETWEEN ALKI AVE SW AND SW CALIFORNIA PL,0,1,Y,2,3644730,Dry,1,51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,10812,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy," 47.59461876200004, -122.38425378099998 ",4093,0,N,14-180451
44806,165991,166011,Block,Cycles,237.5, ,,0,Y,04/16/2014 12:00:00 AM +0000,4/16/2014 15:38,1,,Driveway Junction,Daylight,3,EASTLAKE AVE E BETWEEN E ROANOKE ST AND E EDGAR ST,0,1,,2,3567639,Wet,2,51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,10179,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Raining," 47.64384056200004, -122.32588475799997 ",0,0,N,14-116583
44810,166160,166180,Intersection,Cycles,0, ,,0,,04/03/2014 12:00:00 AM +0000,4/3/2014 8:12,0,30542,At Intersection (intersection related),Daylight,3,6TH AVE S AND S DEARBORN ST,0,1,,3,3641279,Dry,1,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,7987,0,1,Property Damage Only Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy," 47.59583727300003, -122.32637379799996 ",5806,0,N,2014-100996
44817,166158,166178,Intersection,Cycles,0, ,,0,Y,03/28/2014 12:00:00 AM +0000,3/28/2014 7:30,1,29536,At Intersection (intersection related),Daylight,3,7TH AVE AND LENORA ST,0,1,,2,3641264,Wet,2,51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,8164,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Raining," 47.61582545500005, -122.33875323399997 ",13747,0,N,2014-94048
44866,168021,168035,Intersection,Cycles,0, ,,0,Y,05/15/2014 12:00:00 AM +0000,5/15/2014 6:09,1,34147,At Intersection (intersection related),Dawn,2,16TH AVE SW AND SW HOLDEN ST,0,1,,2,3582918,Dry,1,51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,2340,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy," 47.533680428000025, -122.35503244799997 ",1793,0,N,14-150836
44926,168758,168778,Block,Cycles,42, ,,0,,05/08/2014 12:00:00 AM +0000,5/8/2014 18:46,1,,Mid-Block (not related to intersection),Daylight,3,3RD AVE W BETWEEN W EWING S ST AND SHIP CANAL TRL,0,1,,2,3705184,Wet,2,51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,4571,1,2b,Serious Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy," 47.651679812000054, -122.36087040999996 ",0,617898,N,14-142774
44962,167215,167235,Block,Cycles,530, ,,0,Y,05/02/2014 12:00:00 AM +0000,5/2/2014 22:37,1,,Mid-Block (not related to intersection),Dark - Street Lights Off,1,1ST AVE S BETWEEN 1ST AV S VI AND S HUDSON ST,0,1,,2,3504168,Wet,2,21,"MOTOR VEHICLE STRUCK PEDALCYCLIST, REAR END",,1216,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Raining," 47.55886679900004, -122.33421306599996 ",1350,0,N,2014-135886
44971,166630,166650,Block,Cycles,137.5, ,,0,Y,04/27/2014 12:00:00 AM +0000,4/27/2014 12:10,1,,Mid-Block (not related to intersection),Unknown,5,EAST GREEN LAKE WAY N BETWEEN SUNNYSIDE AVE N AND 1ST AVE NE,0,1,Y,3,3572921,Unknown,5,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,14080,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Unknown," 47.67833493400008, -122.32883586599996 ",7398,0,N,14-128842
45049,168452,168472,Block,Cycles,93.5, ,,0,Y,05/22/2014 12:00:00 AM +0000,5/22/2014 17:15,1,,Mid-Block (not related to intersection),Daylight,3,BALLARD AVE NW BETWEEN NW IONE PL AND 20TH AVE NW,0,1,,2,3552825,Dry,1,11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,9043,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy," 47.66530412000003, -122.38189667699999 ",26305,0,N,2014-160487
45056,168448,168468,Block,Cycles,330.5, ,,0,Y,05/22/2014 12:00:00 AM +0000,5/22/2014 8:55,1,,Mid-Block (not related to intersection),Daylight,3,25TH AVE NE BETWEEN NE 125TH ST AND NE 126TH ST,0,1,,1,3504294,Dry,1,66,PEDALCYCLIST STRUCK OBJECT IN ROAD,,3746,0,2,Injury Collision,Y,45,Bicycle,Matched,N,0,Clear or Partly Cloudy," 47.72022111000007, -122.30186929099995 ",0,0,N,2014-159897
45063,166013,166033,Intersection,Cycles,0, ,,0,,04/04/2014 12:00:00 AM +0000,4/4/2014 21:09,1,29575,At Intersection (intersection related),Dark - Street Lights On,1,6TH AVE AND DENNY WAY,0,1,,5,3581843,Wet,2,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,7895,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Raining," 47.618560546000026, -122.34500581799995 ",23463,0,N,14-103057
45069,166179,166199,Intersection,Cycles,0, ,,0,,04/04/2014 12:00:00 AM +0000,4/4/2014 21:29,1,29698,At Intersection (intersection related),Dark - No Street Lights,1,WALL ST AND WESTERN AVE,0,1,,4,3641306,Dry,1,11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,13354,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy," 47.61403121800004, -122.34960608399996 ",37190,0,N,2014-103071
45114,166429,166449,Intersection,Cycles,0, ,,0,Y,04/18/2014 12:00:00 AM +0000,4/18/2014 20:10,1,29177,At Intersection (intersection related),Dusk,4,E HOWELL ST AND E OLIVE WAY,0,1,,2,3701535,Dry,1,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,14170,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy," 47.61773646800003, -122.32625385499995 ",0,0,N,2014-119228
45155,168048,168068,Intersection,Cycles,0, ,,0,,05/15/2014 12:00:00 AM +0000,5/15/2014 12:21,1,29966,At Intersection (intersection related),Daylight,3,4TH AVE AND COLUMBIA ST,1,1,Y,2,3588880,Dry,1,64,PEDALCYCLIST STRUCK PEDESTRIAN,,6124,0,2,Injury Collision,,45,Bicycle,Matched,N,0,Clear or Partly Cloudy," 47.60466155800003, -122.33160430899994 ",12651,521848,N,14-151220
45185,168462,168482,Block,Cycles,142.5, ,,0,,05/29/2014 12:00:00 AM +0000,5/29/2014 14:15,1,,Driveway Junction,Daylight,3,NE 42ND ST BETWEEN BROOKLYN AVE NE AND UNIVERSITY WAY NE,0,1,,3,3591672,Dry,1,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,16791,0,2,Injury Collision,,45,Bicycle,Matched,N,2,Clear or Partly Cloudy," 47.658321769000054, -122.31378726199995 ",0,0,N,14-168782
45240,167631,167651,Intersection,Cycles,0, ,,0,,05/12/2014 12:00:00 AM +0000,5/12/2014 18:11,1,29515,At Intersection (intersection related),Unknown,5,DENNY WAY AND DEXTER AVE,0,1,,3,3585023,Dry,1,51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,10011,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy," 47.618550165000045, -122.34240185299996 ",13736,0,N,2014-147403
45242,166940,166960,Intersection,Cycles,0,NEI,"Not Enough Information, or Insufficient Location Information",0,,04/26/2014 12:00:00 AM +0000,4/26/2014 22:00,0,29599,At Intersection (intersection related),Dark - Street Lights On,1,1ST AVE AND UNION ST,0,1,,2,3570329,Wet,2,0,NOT ENOUGH INFORMATION / NOT APPLICABLE,,1008,0,1,Property Damage Only Collision,,45,Bicycle,Matched,N,1,Raining," 47.60782816200003, -122.33910533499994 ",0,0,N,14-130087
45244,166939,166959,Block,Cycles,95, ,,0,Y,04/13/2014 12:00:00 AM +0000,4/13/2014 11:45,1,,Mid-Block (not related to intersection),Daylight,3,M L KING JR WAY E BETWEEN E ARTHUR PL AND E MADISON ST,0,1,,2,3585942,Dry,1,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,11499,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy," 47.623065214000064, -122.29631794499994 ",35368,0,N,14-112968
45270,168252,168272,Intersection,Cycles,0, ,,0,,05/26/2014 12:00:00 AM +0000,5/26/2014 10:20,0,36419,At Intersection (intersection related),Daylight,3,GREENWOOD AVE N AND HOLMAN RD N,0,1,,2,3582772,Dry,1,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,10765,0,1,Property Damage Only Collision,,45,Bicycle,Matched,Y,1,Overcast," 47.70508354100008, -122.35545274599997 ",18854,0,N,2014-164800
45365,166678,166698,Block,Cycles,66.5, ,,0,Y,04/25/2014 12:00:00 AM +0000,4/25/2014 18:00,1,,Mid-Block (not related to intersection),Daylight,3,8TH AVE NW BETWEEN NW 62ND S ST AND NW 62ND N ST,0,1,,2,3282644,Dry,1,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,8391,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy," 47.67398833000004, -122.36610321199998 ",2460,0,N,14-126917
45370,166196,166216,Intersection,Cycles,0, ,,0,Y,04/09/2014 12:00:00 AM +0000,4/9/2014 14:07,1,29739,At Intersection (intersection related),Daylight,3,11TH AVE AND E PINE ST,0,1,Y,2,3673052,Dry,1,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,1383,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy," 47.615254391000065, -122.318159434 ",10420,0,N,14-108321
45379,166192,166212,Intersection,Cycles,0, ,,0,,04/08/2014 12:00:00 AM +0000,4/8/2014 19:52,1,29878,At Intersection (intersection related),Dark - Street Lights On,1,BOREN AVE AND PIKE ST,0,1,,3,3643982,Wet,2,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,9319,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Overcast," 47.613465820000044, -122.32891310199994 ",31090,0,N,2014-107596
45439,168263,168283,Intersection,Cycles,0, ,,0,,05/22/2014 12:00:00 AM +0000,5/22/2014 21:17,1,32204,At Intersection (intersection related),Dark - Street Lights On,1,11TH CR AVE SW AND SW SPOKANE ST,0,1,,2,3582925,Dry,1,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,1509,1,2b,Serious Injury Collision,,45,Bicycle,Matched,N,1,Overcast," 47.571413018000044, -122.34880038699998 ",39178,0,N,2014-160778
45440,168913,168933,Intersection,Cycles,0, ,,0,,04/30/2014 12:00:00 AM +0000,4/30/2014 9:09,1,287070,At Intersection (intersection related),Daylight,3,3RD AVE W AND SHIP CANAL TRL,0,1,,2,3705302,Dry,1,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,287076,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy," 47.65173653000005, -122.36086912799999 ",0,617898,N,14-132170
45456,169558,169578,Intersection,Cycles,0, ,,0,,06/05/2014 12:00:00 AM +0000,6/5/2014 17:07,1,34786,At Intersection (intersection related),Daylight,3,FAUNTLEROY WAY SW AND SW CLOVERDALE ST,0,1,Y,2,3644829,Dry,1,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,10419,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy," 47.52678336500003, -122.39275578799999 ",3021,0,N,2014-178139
45467,169878,169898,Intersection,Cycles,0, ,,0,,06/15/2014 12:00:00 AM +0000,6/15/2014 15:24,0,27130,At Intersection (intersection related),Daylight,3,ROOSEVELT WAY NE AND NE 40TH ALLEY ST,0,1,,2,3503330,Dry,1,51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,12593,0,1,Property Damage Only Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy," 47.656301849000045, -122.31783423699994 ",11662,0,N,14-190945
45473,169863,169883,Intersection,Cycles,0, ,,0,,06/11/2014 12:00:00 AM +0000,6/11/2014 16:16,1,29761,At Intersection (intersection related),Daylight,3,12TH AVE AND E MADISON ST,0,1,,2,3701772,Dry,1,51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,1536,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy," 47.61288923600006, -122.31673339099996 ",10754,0,N,14-185923
45509,166949,166969,Block,Cycles,121.5, ,,0,,04/21/2014 12:00:00 AM +0000,4/21/2014 17:52,1,,Mid-Block (not related to intersection),Daylight,3,NW 45TH ST BETWEEN 8TH AVE NW AND LEARY WAY NW,0,1,,2,3591189,Dry,1,21,"MOTOR VEHICLE STRUCK PEDALCYCLIST, REAR END",,18334,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy," 47.66146315200007, -122.36666425599998 ",0,0,N,14-122349
45515,166687,166707,Block,Cycles,354.5, ,,0,Y,04/25/2014 12:00:00 AM +0000,4/25/2014 8:35,1,,Mid-Block (but intersection related),Daylight,3,DENNY WAY BETWEEN STEWART ST AND MELROSE AVE,0,1,,3,3583705,Dry,1,54,PEDALCYCLIST STRUCK MOTOR VEHICLE REAR END,,10023,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy," 47.61844935400006, -122.32929210599997 ",23551,0,N,14-126256
45524,168266,168286,Intersection,Cycles,0, ,,0,,05/27/2014 12:00:00 AM +0000,5/27/2014 8:50,1,28762,At Intersection (intersection related),Daylight,3,BOREN AVE N AND MERCER SR ST,0,1,,2,3584030,Dry,1,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,11775,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy," 47.62454274700008, -122.33582712499998 ",0,0,N,14-165904
45532,168076,168096,Intersection,Cycles,0, ,,0,,04/27/2014 12:00:00 AM +0000,4/27/2014 1:18,1,29165,At Intersection (intersection related),Dark - Street Lights On,1,MELROSE AVE AND E DENNY WAY,0,1,Y,3,3701658,Wet,2,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,11758,0,2,Injury Collision,,45,Bicycle,Matched,Y,1,Clear or Partly Cloudy," 47.61849674100006, -122.32785352399998 ",23555,0,N,14-128475
45555,168268,168288,Intersection,Cycles,0, ,,0,,05/26/2014 12:00:00 AM +0000,5/26/2014 14:20,0,29872,At Intersection (intersection related),Daylight,3,BOREN AVE AND PINE ST,0,1,,2,3585085,Dry,1,21,"MOTOR VEHICLE STRUCK PEDALCYCLIST, REAR END",,9320,0,1,Property Damage Only Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy," 47.61445724200007, -122.32982243299995 ",10321,0,N,2014-165039
45576,168488,168508,Block,Cycles,215, ,,0,,05/26/2014 12:00:00 AM +0000,5/26/2014 16:07,1,,Mid-Block (not related to intersection),Daylight,3,BEACH DR SW BETWEEN 61ST AVE SW AND SW CHARLESTOWN ST,0,1,,3,3571080,Dry,1,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,9093,0,2,Injury Collision,,45,Bicycle,Matched,N,2,Clear or Partly Cloudy," 47.57069104400006, -122.41043936299997 ",3999,0,N,2014-165145
45580,168486,168506,Block,Cycles,129, ,,0,,05/26/2014 12:00:00 AM +0000,5/26/2014 20:40,1,,Mid-Block (not related to intersection),Dusk,4,ALKI AVE SW BETWEEN 58TH AVE SW AND MARINE AVE SW,0,1,,2,3570926,Dry,1,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,8794,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy," 47.580671239000026, -122.40659696499995 ",3629,0,N,4
45583,168485,168505,Block,Cycles,265, ,,0,Y,05/27/2014 12:00:00 AM +0000,5/27/2014 17:54,0,,Driveway Junction,Daylight,3,SW ANDOVER ST BETWEEN DELRIDGE WAY SW AND 26TH AVE SW,0,1,,4,3570885,Dry,1,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,21754,0,1,Property Damage Only Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy," 47.56834594600008, -122.36435375099995 ",0,0,N,14-166524
45644,166702,166722,Block,Cycles,325, ,,0,,04/29/2014 12:00:00 AM +0000,4/29/2014 10:38,0,,Mid-Block (but intersection related),Daylight,3,PALATINE AVE N BETWEEN N 65TH ST AND N 67TH ST,0,1,,2,3582217,Dry,1,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,12083,0,1,Property Damage Only Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy," 47.67688978700005, -122.35642063799997 ",0,0,N,14-130982
45645,167273,167293,Intersection,Cycles,0, ,,0,,05/01/2014 12:00:00 AM +0000,5/1/2014 17:28,1,30758,At Intersection (intersection related),Daylight,3,20TH PL S AND S JACKSON ST,0,1,Y,4,3585614,Dry,1,51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,3093,1,2b,Serious Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy," 47.599264825000034, -122.30459823799998 ",11066,0,N,14-134141
45648,167272,167292,Intersection,Cycles,0, ,,0,,05/08/2014 12:00:00 AM +0000,5/8/2014 17:00,1,29528,At Intersection (intersection related),Daylight,3,LENORA ST AND WESTLAKE AVE,0,1,,2,3585084,Wet,2,51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,8285,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Raining," 47.61649020500005, -122.33789362899995 ",37186,0,N,2014-142679
45658,167266,167286,Intersection,Cycles,0, ,,0,,05/05/2014 12:00:00 AM +0000,5/5/2014 18:08,1,24097,At Intersection (intersection related),Daylight,3,7TH AVE NW AND NW 70TH ST,0,1,Y,2,3582218,Dry,1,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,8193,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy," 47.679553895000026, -122.36451286099998 ",0,0,N,14-138876
45663,167017,167037,Block,Cycles,139, ,,0,Y,04/18/2014 12:00:00 AM +0000,4/18/2014 17:12,1,,Driveway Junction,Daylight,3,HARVARD AVE BETWEEN BROADWAY AND SPRING ST,0,1,,2,3701396,Dry,1,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,10774,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy," 47.61158282700006, -122.32105473599995 ",0,0,N,14-119035
45667,166997,167017,Block,Cycles,237.5, ,,0,Y,04/07/2014 12:00:00 AM +0000,4/7/2014 17:18,1,,Mid-Block (not related to intersection),Daylight,3,BOYER AVE E BETWEEN E HAMLIN ST AND FUHRMAN AVE E,0,1,,3,3701501,Dry,1,56,PEDALCYCLIST STRUCK MOTOR VEHICLE LEFT SIDE SIDESWIPE,,9366,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy," 47.64626477100006, -122.31707234699996 ",6002,0,N,14-106168
45708,168279,168299,Intersection,Cycles,0, ,,0,,05/24/2014 12:00:00 AM +0000,5/24/2014 7:00,1,29748,At Intersection (intersection related),Daylight,3,12TH AVE AND E PIKE ST,0,1,,3,3672691,Dry,1,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,1546,1,2b,Serious Injury Collision,,45,Bicycle,Matched,N,1,Overcast," 47.61410376900005, -122.31683584899997 ",31283,0,N,14-162496
45792,168297,168317,Block,Cycles,380, ,,0,Y,05/16/2014 12:00:00 AM +0000,5/16/2014 13:57,0,,Driveway Junction,Daylight,3,4TH AVE S BETWEEN S STACY ST AND S LANDER ST,0,1,,2,3580839,Dry,1,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,6239,0,1,Property Damage Only Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy," 47.58085270600003, -122.329055961 ",18729,0,N,2014-152706
45806,167663,167683,Intersection,Cycles,0, ,,0,,05/08/2014 12:00:00 AM +0000,5/8/2014 16:02,1,29872,At Intersection (intersection related),Daylight,3,BOREN AVE AND PINE ST,0,1,Y,2,3641160,Wet,2,51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,9320,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Raining," 47.61445724200007, -122.32982243299995 ",10320,0,N,14-142588
45807,168112,168132,Intersection,Cycles,0, ,,0,,05/05/2014 12:00:00 AM +0000,5/5/2014 8:31,1,25015,At Intersection (intersection related),Daylight,3,34TH AVE NW AND NW 64TH ST,0,1,,2,3702929,Dry,1,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,5246,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy," 47.67484972600005, -122.40106987599995 ",26258,0,N,14-138195
45811,167662,167682,Intersection,Cycles,0, ,,0,Y,04/29/2014 12:00:00 AM +0000,4/29/2014 17:40,1,29894,At Intersection (intersection related),Daylight,3,6TH AVE AND PIKE ST,0,1,,2,3641146,Dry,1,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,7883,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy," 47.61114239800003, -122.33446376999996 ",0,523698,N,14-131491
45845,169307,169327,Intersection,Cycles,0, ,,0,,06/05/2014 12:00:00 AM +0000,6/5/2014 8:20,1,25409,At Intersection (intersection related),Daylight,3,8TH AVE NW AND NW 57TH ST,0,1,Y,2,3703406,Dry,1,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,8386,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy," 47.67016023200006, -122.36617439599996 ",2433,0,N,14-177567
45852,169302,169322,Intersection,Cycles,0, ,,0,,06/04/2014 12:00:00 AM +0000,6/4/2014 18:22,1,24438,At Intersection (intersection related),Daylight,3,5TH AVE NE AND NE 73RD ST,0,1,,2,3702766,Dry,1,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,7306,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy," 47.68162465700004, -122.32288264499999 ",7457,0,N,14-176965
45877,167026,167046,Block,Cycles,420, ,,0,Y,04/23/2014 12:00:00 AM +0000,4/23/2014 12:53,1,,Mid-Block (not related to intersection),Unknown,5,EASTLAKE AVE E BETWEEN E LYNN ST AND E LOUISA ST,0,1,,2,3701627,Dry,1,51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,10177,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy," 47.64087739100006, -122.325889916 ",24736,0,N,14-124255
45883,166718,166738,Intersection,Cycles,0, ,,0,,04/30/2014 12:00:00 AM +0000,4/30/2014 16:54,1,29826,At Intersection (intersection related),Daylight,3,12TH AVE AND E ALDER ST,0,1,,2,3575045,Dry,1,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,1526,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy," 47.604360385000064, -122.31678113299995 ",10590,0,N,14-132682
45895,166713,166733,Intersection,Cycles,0, ,,0,,04/30/2014 12:00:00 AM +0000,4/30/2014 19:14,1,27070,At Intersection (intersection related),Daylight,3,7TH AVE NE AND NE 45TH ST,0,1,,2,3552911,Dry,1,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,8174,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy," 47.661319003000074, -122.32072786099997 ",7057,0,N,2014-132847
45928,167673,167693,Intersection,Cycles,0, ,,0,,05/02/2014 12:00:00 AM +0000,5/2/2014 10:58,1,36054,At Intersection (intersection related),Daylight,3,30TH AVE NE AND NE 130TH ST,0,1,Y,2,3642240,Dry,1,51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,4635,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy," 47.72290005100007, -122.29635851799998 ",0,521376,N,14-134997
45933,167032,167052,Intersection,Cycles,0, ,,0,,04/30/2014 12:00:00 AM +0000,4/30/2014 16:55,1,29826,At Intersection (intersection related),Daylight,3,12TH AVE AND E ALDER ST,0,1,,2,3476714,Dry,1,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,1526,0,2,Injury Collision,Y,45,Bicycle,Matched,N,1,Clear or Partly Cloudy," 47.604360385000064, -122.31678113299995 ",10590,0,N,14-132685
45939,167029,167049,Intersection,Cycles,0, ,,0,,05/02/2014 12:00:00 AM +0000,5/2/2014 20:00,0,35167,At Intersection (intersection related),Unknown,5,5TH AVE S AND S TRENTON S ST,0,1,,3,3295722,Unknown,5,51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,7386,0,1,Property Damage Only Collision,,45,Bicycle,Matched,N,1,Unknown," 47.524628654000026, -122.32822898199998 ",0,0,N,14-135678
